stage,epoch,noise,scale,time_shift_nonzero,left_right_flip,mixup,time_mask,channel_drop
stage1,1,31296,31296,30664,7891,18208,10989,7797
stage1,2,31296,31296,30695,7958,18528,10886,7873
stage1,3,31296,31296,30662,7906,17984,11026,7812
stage1,4,31296,31296,30670,7949,17568,11067,7846
stage1,5,31296,31296,30699,7870,18976,11064,7825
stage1,6,31296,31296,30720,7747,19168,11019,7769
stage1,7,31296,31296,30673,7809,18432,10943,7782
stage1,8,31296,31296,30682,7951,19744,11056,7866
stage1,9,31296,31296,30660,7952,18944,10922,7823
stage1,10,31296,31296,30674,7896,19200,11031,7912
stage1,11,31296,31296,30680,7822,17984,10895,7857
stage1,12,31296,31296,30676,7862,18976,10970,7807
stage1,13,31296,31296,30698,7758,18432,10816,7781
stage1,14,31296,31296,30653,7824,19072,10934,7842
stage1,15,31296,31296,30722,7918,18592,10855,7980
stage1,16,31296,31296,30705,7840,18784,11036,7773
