epoch,train_kl,valid_kl,lr
1,1.0953234408061636,1.2720415349950127,0.001
2,1.0257927448686983,1.2309411803987576,0.001
3,1.0188694401663176,1.1948246119175365,0.001
4,1.0301299279354752,0.9055898460474882,0.0001951301233713678
5,0.7474593684381369,0.834349783306772,0.00018099719094030728
6,0.6442846952131122,0.7727764849277103,0.0001589846326031011
7,0.5656240486890165,0.7249341169621217,0.0001312471909403073
8,0.4978841342488114,0.9095647970543188,0.00010050000000000002
9,0.4281774821416977,0.7347809982730106,6.975280905969276e-05
10,0.42818468661419506,0.7459187227136949,4.2015367396898945e-05
11,0.395744959136835,0.722075390744018,2.000280905969275e-05
12,0.3811495662951956,0.7371172275055539,5.869876628632225e-06
13,0.3569071031781049,0.7460938615196528,1e-06
14,0.3426905383434657,0.7449069443472567,5.8698766286322235e-06
